cntry,idno,year,tvtot,ppltrst,pplfair,pplhlp,happy,sclmeet,sclact,gndr,agea,partner
CH,5,6,3,3,10,5,8,5,4,2,60,1
CH,25,6,6,5,7,5,9,3,2,2,59,1
CH,26,6,1,8,8,8,7,6,3,1,24,2
CH,28,6,4,6,6,7,10,6,2,2,64,1
CH,29,6,5,6,7,5,8,7,2,2,55,1
CH,40,6,3,0,5,2,0,2,2,1,76,1
CH,41,6,2,4,5,3,10,5,2,2,30,1
CH,51,6,2,8,8,8,9,6,4,2,84,2
CH,53,6,4,4,4,8,7,4,2,2,62,1
CH,55,6,1,6,7,7,9,5,2,2,33,1
CH,56,6,4,5,7,7,7,5,3,1,40,1
CH,57,6,4,7,7,4,9,6,2,1,69,1
CH,58,6,2,1,9,7,8,4,3,1,59,2
CH,68,6,4,4,5,3,8,1,2,2,32,1
CH,73,6,5,4,5,5,9,3,3,2,70,1
CH,81,6,4,5,7,7,8,3,3,1,61,1
CH,82,6,2,7,7,7,6,6,3,1,30,1
CH,84,6,0,9,7,8,9,5,4,1,21,2
CH,86,6,2,6,6,6,8,4,3,2,36,1
CH,87,6,7,3,4,4,7,6,4,1,51,1
CH,96,6,1,8,8,6,8,7,4,1,25,2
CH,98,6,2,7,7,8,9,6,3,1,62,1
CH,104,6,2,4,8,8,9,6,2,2,20,2
CH,108,6,0,7,7,4,9,4,2,2,22,1
CH,117,6,0,6,7,5,7,6,2,2,32,1
CH,118,6,2,7,6,5,8,4,3,2,35,1
CH,119,6,0,5,8,6,9,4,2,2,26,1
CH,121,6,2,8,8,8,10,6,3,2,35,1
CH,133,6,7,8,5,5,8,5,3,2,54,1
CH,135,6,6,8,8,3,5,6,1,2,38,2
CH,137,6,3,2,3,2,9,5,2,1,38,1
CH,148,6,0,5,6,10,10,6,2,2,82,2
CH,149,6,5,8,3,2,6,6,3,1,69,2
CH,161,6,1,7,7,8,6,4,3,2,24,2
CH,162,6,7,7,6,8,8,6,2,2,53,1
CH,168,6,2,6,6,7,8,6,3,2,46,2
CH,177,6,4,5,8,8,8,4,3,1,38,1
CH,179,6,4,7,7,3,9,6,3,1,47,1
CH,180,6,6,5,7,4,7,4,2,1,72,1
CH,185,6,2,4,4,5,9,7,3,1,22,2
CH,200,6,2,9,7,7,9,7,2,1,16,2
CH,216,6,1,7,5,7,7,7,3,1,20,2
CH,218,6,0,8,8,7,9,5,2,1,42,1
CH,219,6,5,7,7,7,8,7,3,2,16,2
CH,220,6,4,7,7,7,8,6,3,1,57,2
CH,231,6,2,8,8,7,8,6,4,2,45,1
CH,232,6,1,8,8,6,9,4,4,1,28,1
CH,251,6,3,5,5,4,6,3,2,1,85,1
CH,257,6,2,7,5,6,8,6,3,1,48,1
CH,258,6,2,9,9,8,9,5,2,1,85,2
CH,260,6,6,0,1,5,6,2,1,2,52,2
CH,261,6,2,3,5,5,8,5,3,2,30,2
CH,270,6,2,6,8,8,10,5,3,2,51,1
CH,271,6,1,10,9,9,7,6,2,2,29,1
CH,273,6,2,7,8,7,8,5,3,1,51,1
CH,279,6,1,8,8,5,8,5,3,1,62,2
CH,295,6,0,6,9,6,10,4,3,2,27,1
CH,297,6,3,8,9,4,8,6,3,1,42,2
CH,303,6,3,6,3,7,9,7,2,2,47,1
CH,308,6,0,8,6,6,9,4,2,2,24,2
CH,318,6,4,8,8,5,10,5,3,1,79,1
CH,322,6,3,5,7,4,9,5,3,2,70,1
CH,323,6,3,3,3,3,9,3,2,2,44,1
CH,332,6,7,6,7,5,8,4,2,2,70,1
CH,333,6,2,3,3,3,8,6,3,1,30,1
CH,339,6,4,4,7,8,6,7,5,2,92,2
CH,345,6,2,7,7,3,9,5,3,1,45,1
CH,354,6,5,4,7,6,7,3,2,1,50,1
CH,357,6,2,7,7,8,8,5,3,2,37,1
CH,359,6,1,7,6,7,8,6,3,1,48,1
CH,362,6,3,1,6,5,9,4,3,1,64,1
CH,369,6,5,8,5,4,10,5,3,1,75,1
CH,380,6,1,5,7,3,10,4,5,1,20,2
CH,400,6,0,7,8,8,9,6,3,2,45,1
CH,402,6,6,4,6,2,8,4,2,2,79,2
CH,404,6,2,4,5,3,8,5,3,1,47,2
CH,405,6,2,8,7,9,10,3,3,1,19,2
CH,407,6,2,8,8,5,9,5,2,1,52,1
CH,412,6,2,5,5,8,6,4,2,1,60,1
CH,417,6,4,2,5,4,9,4,3,2,31,2
CH,420,6,2,4,5,5,9,7,3,2,35,2
CH,422,6,1,7,8,4,6,2,2,1,48,1
CH,425,6,3,0,2,0,8,6,3,2,37,2
CH,427,6,4,6,5,4,10,6,3,2,65,1
CH,430,6,3,6,3,3,7,7,5,1,68,1
CH,434,6,3,5,5,2,1,5,2,1,27,2
CH,441,6,5,5,8,8,5,6,2,2,84,2
CH,443,6,7,4,3,1,8,4,2,2,40,2
CH,444,6,2,8,7,5,9,6,4,1,28,1
CH,447,6,5,3,5,4,7,3,3,1,58,1
CH,448,6,2,7,8,6,7,2,2,1,58,1
CH,456,6,2,4,7,5,7,2,2,2,39,1
CH,457,6,0,8,8,8,8,4,2,2,20,2
CH,459,6,3,8,5,7,7,6,2,1,32,1
CH,461,6,3,6,7,7,8,6,3,1,16,2
CH,471,6,0,8,8,7,10,5,3,2,36,1
CH,476,6,2,5,3,2,8,6,3,1,67,2
CH,481,6,5,7,5,4,7,7,3,1,23,2
CH,491,6,5,7,6,6,7,6,3,2,69,1
CH,494,6,1,5,7,7,10,6,3,2,45,1
CH,496,6,5,4,6,6,7,3,2,1,45,1
CH,497,6,2,10,8,8,10,7,3,1,56,1
CH,498,6,6,3,3,5,7,4,2,1,39,1
CH,501,6,4,9,9,9,10,5,2,1,59,1
CH,502,6,1,4,5,10,10,6,3,1,42,1
CH,503,6,1,9,8,8,9,7,3,1,23,2
CH,504,6,6,7,5,5,9,6,2,2,75,1
CH,506,6,3,3,7,5,8,2,3,2,78,2
CH,508,6,3,6,4,3,8,3,1,1,57,1
CH,509,6,0,5,5,3,9,6,3,2,33,1
CH,512,6,4,5,5,9,8,6,3,2,55,1
CH,516,6,2,8,7,8,9,5,3,2,32,1
CH,520,6,7,5,8,6,8,6,2,2,83,2
CH,522,6,2,5,5,6,10,4,3,1,24,2
CH,524,6,3,6,5,8,9,5,3,1,74,1
CH,526,6,0,7,6,8,9,6,2,2,25,2
CH,539,6,6,6,5,6,9,6,3,1,46,1
CH,546,6,2,7,7,7,8,4,4,2,49,1
CH,551,6,3,7,5,3,7,4,1,1,68,1
CH,563,6,1,6,7,6,9,6,3,2,37,1
CH,569,6,4,7,8,5,8,6,4,2,58,1
CH,570,6,3,7,8,7,8,6,3,2,19,2
CH,575,6,3,7,4,4,9,7,3,1,21,2
CH,576,6,3,4,3,3,7,2,1,2,45,2
CH,578,6,5,5,7,7,10,4,2,2,43,1
CH,581,6,2,5,5,3,8,7,5,1,32,2
CH,586,6,5,7,6,4,8,4,3,1,68,1
CH,587,6,3,5,8,8,9,5,1,2,86,2
CH,590,6,4,5,4,3,7,4,3,2,50,1
CH,597,6,6,4,2,5,8,4,3,1,65,1
CH,600,6,4,5,6,3,8,6,3,2,61,1
CH,605,6,4,3,6,5,7,6,3,1,60,1
CH,606,6,1,4,4,3,8,3,3,2,62,1
CH,607,6,6,4,6,8,8,5,3,2,74,1
CH,609,6,6,4,8,5,7,6,2,2,42,1
CH,610,6,2,7,5,5,9,5,2,2,51,1
CH,613,6,2,7,8,5,7,7,3,1,24,2
CH,618,6,3,5,7,8,8,6,3,2,50,1
CH,625,6,5,3,4,4,10,6,3,2,67,1
CH,630,6,1,8,10,7,8,6,3,1,55,1
CH,633,6,1,6,8,6,8,6,3,2,23,1
CH,637,6,4,6,8,9,9,6,2,2,60,1
CH,643,6,1,8,7,7,8,6,2,1,44,1
CH,646,6,6,8,7,6,9,6,2,2,42,1
CH,648,6,1,5,5,5,7,4,3,2,37,2
CH,655,6,3,1,4,5,5,6,2,2,45,2
CH,658,6,1,7,8,6,10,4,3,1,27,1
CH,660,6,3,5,5,4,8,4,5,1,59,1
CH,663,6,0,6,8,4,9,4,4,2,57,1
CH,666,6,1,8,10,3,8,6,3,1,58,2
CH,675,6,2,7,7,5,7,4,4,2,47,1
CH,676,6,5,6,0,5,10,3,2,2,91,2
CH,680,6,3,7,8,7,8,6,2,2,16,2
CH,684,6,1,8,8,7,9,6,3,2,34,1
CH,685,6,7,7,7,2,5,6,1,1,60,2
CH,690,6,1,5,7,3,9,5,3,2,51,1
CH,692,6,7,4,7,4,6,3,4,2,68,2
CH,693,6,4,3,6,4,4,2,1,1,36,1
CH,696,6,4,7,4,5,7,5,3,2,51,1
CH,697,6,6,3,4,5,6,5,2,1,65,1
CH,698,6,0,7,7,4,9,6,1,2,37,1
CH,701,6,1,5,6,8,5,4,2,2,58,2
CH,703,6,7,6,8,7,8,7,3,1,22,2
CH,706,6,5,4,5,4,6,2,1,1,39,1
CH,707,6,4,2,5,4,9,6,4,2,23,2
CH,708,6,1,7,2,3,8,6,3,1,68,1
CH,709,6,6,6,7,8,8,7,2,1,65,1
CH,711,6,3,3,3,3,9,6,4,2,40,1
CH,713,6,2,0,0,5,10,5,1,2,28,1
CH,714,6,3,6,8,6,9,6,4,1,17,2
CH,716,6,1,0,5,5,10,6,2,2,52,1
CH,717,6,3,6,4,10,10,2,2,2,32,1
CH,720,6,1,5,7,7,7,6,4,1,54,2
CH,722,6,1,4,9,8,8,6,3,2,31,1
CH,724,6,0,8,8,7,10,5,3,2,55,1
